time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2012-04-11T09:27:56.760Z,1.254,91.735,10,6,mb,205,60.8,,1.05,us,usp000jhhg,2014-11-07T01:47:28.000Z,"North Indian Ocean",earthquake,,,,63,reviewed,us,us
2012-04-11T09:01:06.750Z,2.199,89.441,10,5.9,mb,59,147.1,,1.14,us,usp000jhh6,2014-11-07T01:47:27.973Z,"North Indian Ocean",earthquake,,,,22,reviewed,us,us
2012-04-11T09:00:09.710Z,51.364,-176.097,20.8,5.5,mb,99,108.9,,,us,usp000jhh4,2018-07-07T01:14:16.530Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,34,reviewed,aeic,us
2012-04-11T08:55:46.960Z,1.271,91.748,10,5.8,mb,43,115.1,,0.78,us,usp000jhh3,2014-11-07T01:47:27.949Z,"North Indian Ocean",earthquake,,,,5,reviewed,us,us
2012-04-11T08:38:36.720Z,2.327,93.063,20,8.6,mw,499,16.6,,1.33,official,official20120411083836720_20,2019-06-21T22:10:52.172Z,"off the west coast of northern Sumatra",earthquake,,,,,reviewed,us,official
2012-04-10T05:09:08.410Z,-1.261,-13.972,10,5.8,mww,281,35.6,,0.84,us,usp000jhfk,2014-11-07T01:47:27.574Z,"north of Ascension Island",earthquake,,,,,reviewed,us,us
2012-04-06T19:24:13.940Z,-3.345,100.426,13.6,5.5,mwb,252,27.8,,0.93,us,usp000jhbb,2014-11-07T01:47:26.720Z,"Kepulauan Mentawai region, Indonesia",earthquake,,9,,,reviewed,us,us
2012-04-06T16:15:58.010Z,-4.551,153.457,108.5,6.1,mww,312,11.6,,0.98,us,usp000jhb2,2015-06-30T16:59:03.950Z,"New Ireland region, Papua New Guinea",earthquake,,5.4,,,reviewed,us,us
2012-04-02T17:36:42.060Z,16.395,-98.316,9,6,mww,557,46.9,,0.89,us,usp000jh52,2017-10-11T20:03:06.755Z,"Oaxaca, Mexico",earthquake,,,,,reviewed,us,us
2012-04-01T21:44:04.130Z,-4.516,153.427,117.9,5.7,mwb,282,14.5,,1.02,us,usp000jh3y,2014-11-07T01:47:24.156Z,"New Ireland region, Papua New Guinea",earthquake,,7.1,,,reviewed,us,us
2012-04-01T14:04:24.910Z,37.116,140.957,48,5.7,mwb,505,18.4,,0.71,us,usp000jh3k,2015-06-30T16:59:03.949Z,"eastern Honshu, Japan",earthquake,,,,,reviewed,us,us
