time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1992-07-08T20:42:18.000Z,34.627,-116.646,8.993,2.82,mc,0,92.3,,0.147,ci,ci3092468,2016-02-10T18:19:49.681Z,"36km NE of Lucerne Valley, California",earthquake,,0.599,,6,reviewed,ci,ci
1992-07-08T20:41:47.650Z,34.386,-116.462,4.721,2.76,mc,0,99.3,,0.296,ci,ci3039720,2016-02-10T14:46:18.947Z,"30km N of Yucca Valley, California",earthquake,,,,68,reviewed,ci,ci
1992-07-08T20:23:27.100Z,34.264,-116.411,-0.91,2.82,mc,0,58.6,,0.273,ci,ci3092457,2016-02-10T07:44:43.778Z,"17km N of Yucca Valley, California",earthquake,,0.498,,68,reviewed,ci,ci
1992-07-08T19:47:18.530Z,34.074,-116.377,1.59,3.24,ml,0,43.1,,0.19,ci,ci3104892,2016-02-10T11:19:45.492Z,"7km SE of Yucca Valley, California",earthquake,,0.302,,31,reviewed,ci,ci
1992-07-08T19:40:09.650Z,34.615,-116.675,5.95,2.91,ml,0,56.6,,0.144,ci,ci3039694,2016-02-10T07:44:38.368Z,"33km NE of Lucerne Valley, California",earthquake,,1.058,,15,reviewed,ci,ci
1992-07-08T19:34:48.870Z,35.006,-116.962,3.981,3.14,ml,0,61.2,,0.192,ci,ci3039692,2016-02-10T18:19:44.468Z,"13km NNE of Barstow, California",earthquake,,0.572,,23,reviewed,ci,ci
1992-07-08T19:01:35.320Z,34.555,-116.564,3.892,2.93,mc,0,64,,0.181,ci,ci3039674,2016-02-09T20:54:14.606Z,"39km ENE of Lucerne Valley, California",earthquake,,0.457,,82,reviewed,ci,ci
1992-07-08T18:22:30.800Z,35.23,-116.894,1.383,2.64,mc,0,93.5,,0.089,ci,ci3039346,2016-02-10T21:59:28.626Z,"19km W of Fort Irwin, California",earthquake,,1.295,,45,reviewed,ci,ci
1992-07-08T18:19:12.790Z,34.293,-116.481,4.907,3.21,ml,0,60.5,,0.244,ci,ci3039300,2016-02-10T18:19:36.484Z,"20km NNW of Yucca Valley, California",earthquake,,,,26,reviewed,ci,ci
1992-07-08T17:59:51.950Z,34.259,-116.454,1.917,3.21,ml,0,61.8,,0.209,ci,ci3039208,2016-02-10T11:19:40.354Z,"16km N of Yucca Valley, California",earthquake,,2.072,,28,reviewed,ci,ci
1992-07-08T17:58:12.640Z,35.228,-116.881,0.415,2.51,mc,0,80.7,0.09597,0.101,ci,ci3207037,2016-02-10T18:19:34.966Z,"18km WSW of Fort Irwin, California",earthquake,,0.716,,52,reviewed,ci,ci
1992-07-08T17:56:10.800Z,34.599,-116.631,2.962,2.86,mc,0,75.9,,0.219,ci,ci3039040,2016-02-10T04:13:33.513Z,"35km ENE of Lucerne Valley, California",earthquake,,0.353,,82,reviewed,ci,ci
1992-07-08T17:47:13.730Z,33.489,-118.083,5.794,3.55,ml,0,102.8,,0.3,ci,ci3038989,2016-02-10T00:37:04.033Z,"20km SW of Newport Beach, California",earthquake,,,,33,reviewed,ci,ci
1992-07-08T17:36:53.410Z,34.107,-116.825,0.647,2.55,mc,0,29,,0.2,ci,ci3038888,2016-02-10T04:13:30.056Z,"17km SSE of Big Bear Lake, California",earthquake,,0.255,,53,reviewed,ci,ci
1992-07-08T17:33:37.300Z,34.614,-116.365,4.514,2.51,mc,0,108.6,,0.323,ci,ci3038847,2016-02-10T14:46:05.543Z,"22km WSW of Ludlow, California",earthquake,,8.259,,60,reviewed,ci,ci
1992-07-08T16:51:03.920Z,35.228,-116.889,-0.217,2.61,mc,0,94.9,0.1003,0.179,ci,ci3038465,2016-02-09T20:54:08.807Z,"19km WSW of Fort Irwin, California",earthquake,,1.38,,23,reviewed,ci,ci
1992-07-08T16:50:49.690Z,35.23,-116.889,1.686,2.62,mc,0,94.7,,0.234,ci,ci3039856,2016-02-09T20:54:07.543Z,"19km W of Fort Irwin, California",earthquake,,1.272,,23,reviewed,ci,ci
1992-07-08T16:49:14.380Z,35.233,-116.892,-0.757,3.64,ml,0,87.1,,0.241,ci,ci3038464,2016-02-10T00:37:01.936Z,"19km W of Fort Irwin, California",earthquake,,0.753,,30,reviewed,ci,ci
1992-07-08T16:46:54.180Z,37.6375,-118.8388333,6.134,2.85,md,36,59,0.002703,0.05,nc,nc303282,2016-12-19T14:33:14.760Z,"Long Valley area, California",earthquake,0.22,0.37,0.2,41,reviewed,nc,nc
1992-07-08T16:46:09.480Z,34.798,-116.303,4.824,2.69,mc,0,147.7,0.2545,0.226,ci,ci3092450,2016-02-10T00:37:00.460Z,"16km WNW of Ludlow, California",earthquake,,,,61,reviewed,ci,ci
1992-07-08T16:34:39.280Z,34.087,-116.98,2.113,2.86,mc,0,55.2,,0.16,ci,ci3104759,2016-02-10T18:19:30.743Z,"8km NE of Yucaipa, California",earthquake,,0.146,,78,reviewed,ci,ci
1992-07-08T15:35:51.160Z,34.922,-116.926,-0.089,2.81,ml,0,63.4,,0.11,ci,ci3041068,2016-02-10T11:19:33.931Z,"9km ENE of Barstow, California",earthquake,,2.485,,20,reviewed,ci,ci
1992-07-08T15:34:08.560Z,34.347,-116.465,4.838,3.6,ml,0,135.3,,0.11,ci,ci3038445,2016-02-10T07:44:31.983Z,"26km N of Yucca Valley, California",earthquake,,,,23,reviewed,ci,ci
1992-07-08T15:19:19.430Z,34.924,-116.924,-0.869,2.99,ml,0,63.6,,0.131,ci,ci3038440,2016-02-10T07:44:30.617Z,"9km ENE of Barstow, California",earthquake,,2.091,,24,reviewed,ci,ci
1992-07-08T15:15:13.750Z,37.8661667,-122.0005,8.946,2.86,md,63,42,0.004505,0.07,nc,nc303272,2016-12-19T14:32:52.700Z,"San Francisco Bay area, California",earthquake,0.13,0.23,0.13,61,reviewed,nc,nc
1992-07-08T14:59:13.440Z,32.524,-115.28,22.457,2.55,mc,0,193.4,,0.28,ci,ci3038428,2016-02-10T04:13:24.864Z,"8km ESE of Puebla, B.C., MX",earthquake,,3.341,,19,reviewed,ci,ci
1992-07-08T14:45:14.470Z,34.173,-116.444,3.791,2.57,mc,0,95.9,,0.145,ci,ci3038426,2016-02-10T11:19:32.633Z,"7km N of Yucca Valley, California",earthquake,,1.583,,48,reviewed,ci,ci
1992-07-08T14:34:59.320Z,34.281,-116.447,1.868,2.57,mc,0,101.8,,0.181,ci,ci3104746,2016-02-10T07:44:28.175Z,"19km N of Yucca Valley, California",earthquake,,0.26,,60,reviewed,ci,ci
1992-07-08T13:37:40.300Z,34.486,-116.532,-1.358,2.5,mc,0,55.4,,0.207,ci,ci3038399,2016-02-10T21:59:16.005Z,"38km NE of Big Bear City, California",earthquake,,0.555,,47,reviewed,ci,ci
1992-07-08T13:22:19.010Z,39.741,-110.7785,-0.79,2.54,md,16,183,0.07824,0.21,uu,uu50065875,2018-08-28T04:38:13.730Z,"Utah",earthquake,0.93,1.13,,7,reviewed,uu,uu
1992-07-08T13:19:08.590Z,34.173,-116.424,3.391,2.58,mc,0,48.8,,0.143,ci,ci3038389,2016-02-10T11:19:25.701Z,"7km N of Yucca Valley, California",earthquake,,0.404,,69,reviewed,ci,ci
1992-07-08T13:00:23.430Z,34.53,-116.533,-0.428,2.75,mc,0,54.3,,0.204,ci,ci3038379,2016-02-09T20:53:53.281Z,"40km WSW of Ludlow, California",earthquake,,0.913,,67,reviewed,ci,ci
1992-07-08T12:58:41.010Z,34.533,-116.541,2.294,2.83,mc,0,65.8,,0.156,ci,ci3038378,2016-02-10T21:59:11.364Z,"40km ENE of Lucerne Valley, California",earthquake,,1.517,,77,reviewed,ci,ci
1992-07-08T12:55:35.120Z,34.601,-116.63,2.974,2.69,mc,0,59.4,,0.198,ci,ci3104721,2016-02-10T14:45:49.548Z,"36km ENE of Lucerne Valley, California",earthquake,,0.325,,72,reviewed,ci,ci
1992-07-08T12:09:34.170Z,34.963,-116.931,-1.039,3.12,mc,0,62.4,,0.181,ci,ci3117466,2016-02-10T14:45:48.215Z,"11km NE of Barstow, California",earthquake,,1.624,,81,reviewed,ci,ci
1992-07-08T11:57:45.830Z,34.927,-116.748,0.641,2.76,mc,0,85.5,,0.17,ci,ci3038352,2016-02-10T11:19:21.914Z,"25km E of Barstow, California",earthquake,,0.745,,73,reviewed,ci,ci
